Сайт;Рубрика;Тема статьи;Анкор;Ссылка;Тип
1;Профессии и обучение в Красноярске;Рабочие профессии Красноярска: какие специальности можно освоить с нуля;;;
1;Профессии и обучение в Красноярске;Кто такой лаборант химического анализа и чем он занимается;химический анализ;https://ru.wikipedia.org/wiki/Химический_анализ;траст
1;Профессии и обучение в Красноярске;Лаборант химического анализа: как пройти обучение и начать карьеру;лаборант химического анализа обучение;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/laborant-himicheskogo-analiza/;анкор клиента
1;Профессии и обучение в Красноярске;Где работают лаборанты химического анализа: отрасли и предприятия Красноярского края;;;
1;Профессии и обучение в Красноярске;Зарплаты рабочих специальностей в Красноярске: обзор рынка труда;Росстат;https://rosstat.gov.ru/;траст
1;Профессии и обучение в Красноярске;Как выбрать учебный центр для получения рабочей профессии;;;
2;Карьера и переобучение;Зачем менять профессию: когда переобучение действительно оправдано;;;
2;Карьера и переобучение;Профессиональная переподготовка в Красноярске: как это работает;профессиональная переподготовка;https://aso-cdo.ru/krasnoyarsk/professionalnaya-perepodgotovka/;анкор клиента
2;Карьера и переобучение;Чем переподготовка отличается от повышения квалификации;Закон об образовании;https://www.consultant.ru/document/cons_doc_LAW_140174/;траст
2;Карьера и переобучение;ТОП востребованных направлений переобучения в Красноярском крае;;;
2;Карьера и переобучение;Как проверить лицензию учебного центра перед оплатой;Рособрнадзор;https://obrnadzor.gov.ru/;траст
2;Карьера и переобучение;Как совмещать работу и учёбу: советы для занятых;;;
3;Лаборатория и анализ;Что делает химическая лаборатория на современном производстве;;;
3;Лаборатория и анализ;Современное оборудование химических лабораторий;;;
3;Лаборатория и анализ;Профессия лаборант: обязанности и требования;лаборант;https://ru.wikipedia.org/wiki/Лаборант;траст
3;Лаборатория и анализ;Обучение на лаборанта химического анализа в Красноярске;лаборант химического анализа обучение красноярск;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/laborant-himicheskogo-analiza/;анкор клиента
3;Лаборатория и анализ;Профессиональные стандарты для работников лабораторий;профстандарты;https://profstandart.rosmintrud.ru/;траст
3;Лаборатория и анализ;Карьерный путь лаборанта: от стажёра до руководителя;;;
4;Охрана труда и безопасность;Зачем предприятию специалист по охране труда;;;
4;Охрана труда и безопасность;Основные требования охраны труда на производстве;охрана труда;https://ru.wikipedia.org/wiki/Охрана_труда;траст
4;Охрана труда и безопасность;Обучение по охране труда в Красноярске: программы и форматы;обучение по охране труда красноярск;https://aso-cdo.ru/krasnoyarsk/obuchenie-po-ohrane-truda/;анкор клиента
4;Охрана труда и безопасность;Как проходит проверка по охране труда на предприятии;;;
4;Охрана труда и безопасность;Обязанности работодателя по охране труда;Минтруд;https://mintrud.gov.ru/;траст
4;Охрана труда и безопасность;Типичные нарушения охраны труда и как их избежать;;;
5;Сварочное дело;Профессия сварщика: почему она остаётся востребованной;;;
5;Сварочное дело;Электрогазосварщик: обучение в Красноярске с нуля;электрогазосварщик обучение красноярск;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/elektrogazosvarshhik/;анкор клиента
5;Сварочное дело;Виды сварки и их применение;сварка;https://ru.wikipedia.org/wiki/Сварка;траст
5;Сварочное дело;Разряды сварщиков: что они означают и как повышаются;;;
5;Сварочное дело;Требования промышленной безопасности при сварочных работах;Ростехнадзор;https://www.gosnadzor.ru/;траст
5;Сварочное дело;Сколько зарабатывает сварщик в Красноярске;;;
6;Дезинфекция и санитария;Кто такой дезинфектор и где он работает;;;
6;Дезинфекция и санитария;Чем занимается служба дезинфекции;;;
6;Дезинфекция и санитария;Что такое дезинфекция, дезинсекция и дератизация;дезинфекция;https://ru.wikipedia.org/wiki/Дезинфекция;траст
6;Дезинфекция и санитария;Обучение на дезинфектора дистанционно: как пройти курс;обучение на дезинфектора дистанционно;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/mediczinskij-dezinfektor/;анкор клиента
6;Дезинфекция и санитария;Санитарные требования к дезинфекционным работам;Роспотребнадзор;https://www.rospotrebnadzor.ru/;траст
6;Дезинфекция и санитария;Средства и методы современной дезинфекции;;;
7;Рабочие специальности;Почему рабочие профессии снова в тренде;;;
7;Рабочие специальности;Рынок труда рабочих специальностей в России;Росстат;https://rosstat.gov.ru/;траст
7;Рабочие специальности;Обучение рабочим профессиям: с чего начать;обучение рабочим профессиям;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/;анкор клиента
7;Рабочие специальности;ТОП рабочих профессий для быстрого старта карьеры;;;
7;Рабочие специальности;Где искать вакансии по рабочим специальностям;Работа России;https://trudvsem.ru/;траст
7;Рабочие специальности;Рабочая профессия или офис: где выше доход;;;
8;Складская техника и логистика;Водитель погрузчика: чем занимается и где востребован;;;
8;Складская техника и логистика;Обучение на водителя погрузчика: что входит в программу курса;обучение на водителя погрузчика;https://aso-cdo.ru/krasnoyarsk/rabochie-professii/voditel-pogruzchika/;анкор клиента
8;Складская техника и логистика;Виды погрузчиков и их назначение;погрузчик;https://ru.wikipedia.org/wiki/Погрузчик;траст
8;Складская техника и логистика;Как получить удостоверение водителя погрузчика;;;
8;Складская техника и логистика;Требования безопасности при работе на погрузчике;Ростехнадзор;https://www.gosnadzor.ru/;траст
8;Складская техника и логистика;Сколько зарабатывает водитель погрузчика;;;
9;Безопасность на предприятии;Система управления охраной труда: как она устроена;;;
9;Безопасность на предприятии;Инструктажи по охране труда: виды и периодичность;;;
9;Безопасность на предприятии;Расследование несчастных случаев на производстве;охрана труда;https://ru.wikipedia.org/wiki/Охрана_труда;траст
9;Безопасность на предприятии;Где пройти обучение по охране труда в Красноярске;обучение по охране труда красноярск;https://aso-cdo.ru/krasnoyarsk/obuchenie-po-ohrane-truda/;анкор клиента
9;Безопасность на предприятии;Государственный надзор за охраной труда;Минтруд;https://mintrud.gov.ru/;траст
9;Безопасность на предприятии;Средства индивидуальной защиты: что нужно знать работнику;;;
10;Оценка и недвижимость;Профессия оценщик: чем он занимается и сколько зарабатывает;;;
10;Оценка и недвижимость;Как устроена оценка стоимости недвижимости;оценка недвижимости;https://ru.wikipedia.org/wiki/Оценка_недвижимости;траст
10;Оценка и недвижимость;Оценщик недвижимости: обучение и старт в профессии;оценщик недвижимости обучение;https://aso-cdo.ru/krasnoyarsk/professionalnaya-perepodgotovka/ocenochnaya-deyatelnost-pp/oczenka-nedvizhimosti/;анкор клиента
10;Оценка и недвижимость;Когда нужна независимая оценка недвижимости;;;
10;Оценка и недвижимость;Рынок недвижимости России в цифрах;Росстат;https://rosstat.gov.ru/;траст
10;Оценка и недвижимость;Как стать частнопрактикующим оценщиком;;;
11;Работа на складе в Москве;Складские профессии Москвы: спрос и зарплаты;;;
11;Работа на складе в Москве;Где отучиться на погрузчик в Москве;отучиться на погрузчик в москве;https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/;анкор клиента
11;Работа на складе в Москве;Что такое вилочный погрузчик и как он устроен;погрузчик;https://ru.wikipedia.org/wiki/Погрузчик;траст
11;Работа на складе в Москве;Как устроиться водителем погрузчика без опыта;;;
11;Работа на складе в Москве;Поиск вакансий водителя погрузчика в Москве;HeadHunter;https://hh.ru/;траст
11;Работа на складе в Москве;Карьера на складе: от грузчика до начальника смены;;;
12;Дистанционное обучение профессиям;Можно ли освоить рабочую профессию дистанционно;;;
12;Дистанционное обучение профессиям;Как выбрать онлайн-курс рабочей специальности;профстандарты;https://profstandart.rosmintrud.ru/;траст
12;Дистанционное обучение профессиям;Дистанционное обучение на водителя погрузчика;дистанционное обучение водитель погрузчика;https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/;анкор клиента
12;Дистанционное обучение профессиям;Как проходит практика при дистанционном обучении;;;
12;Дистанционное обучение профессиям;Документы об обучении: что должно выдать учебное заведение;Рособрнадзор;https://obrnadzor.gov.ru/;траст
12;Дистанционное обучение профессиям;Плюсы и минусы дистанционного формата обучения;;;
13;Профессия водитель погрузчика;Один день из жизни водителя погрузчика;;;
13;Профессия водитель погрузчика;Какие бывают погрузчики: электрические и дизельные;;;
13;Профессия водитель погрузчика;Устройство и принцип работы погрузчика;погрузчик;https://ru.wikipedia.org/wiki/Погрузчик;траст
13;Профессия водитель погрузчика;Обучение на водителя погрузчика в Москве: цены и сроки;обучение на водителя погрузчика в москве;https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/;анкор клиента
13;Профессия водитель погрузчика;Правила безопасной эксплуатации погрузчиков;Ростехнадзор;https://www.gosnadzor.ru/;траст
13;Профессия водитель погрузчика;Что проверяют на экзамене у будущего водителя погрузчика;;;
14;Обучение и переквалификация;Когда стоит сменить профессию на рабочую;;;
14;Обучение и переквалификация;Дистанционное обучение на погрузчик: как это работает;дистанционное обучение на погрузчик;https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/;анкор клиента
14;Обучение и переквалификация;Профессиональное обучение в России: формы и сроки;Закон об образовании;https://www.consultant.ru/document/cons_doc_LAW_140174/;траст
14;Обучение и переквалификация;Сколько длится обучение на водителя погрузчика;;;
14;Обучение и переквалификация;Зарплаты рабочих профессий по регионам России;Росстат;https://rosstat.gov.ru/;траст
14;Обучение и переквалификация;Как совмещать обучение с основной работой;;;
15;Курсы рабочих профессий;Как выбрать курсы рабочей профессии и не ошибиться;;;
15;Курсы рабочих профессий;На что обратить внимание при выборе учебного центра;Рособрнадзор;https://obrnadzor.gov.ru/;траст
