Сайт ID	Домен	Рубрика	Тип	Тема статьи	URL статьи	Дата	Анкор	Целевая ссылка
1	rt-covid19.ru	Профессии и обучение в Красноярске	тематическая	Рабочие профессии Красноярска: какие специальности можно освоить с нуля	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/rabochie-professii-krasnojarska-s-nulja/	2026-04-23		
1	rt-covid19.ru	Профессии и обучение в Красноярске	траст	Кто такой лаборант химического анализа и чем он занимается	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/kto-takoj-laborant-himicheskogo-analiza/	2026-04-24	химический анализ	https://ru.wikipedia.org/wiki/Химический_анализ
1	rt-covid19.ru	Профессии и обучение в Красноярске	анкор клиента	Лаборант химического анализа: как пройти обучение и начать карьеру	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/laborant-himicheskogo-analiza-put-v-professiju/	2026-04-26	лаборант химического анализа обучение	https://aso-cdo.ru/krasnoyarsk/rabochie-professii/laborant-himicheskogo-analiza/
1	rt-covid19.ru	Профессии и обучение в Красноярске	тематическая	Где работают лаборанты химического анализа: отрасли и предприятия Красноярского края	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/gde-rabotajut-laboranty-himicheskogo-analiza-2/	2026-04-28		
1	rt-covid19.ru	Профессии и обучение в Красноярске	траст	Зарплаты рабочих специальностей в Красноярске: обзор рынка труда	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/zarplaty-rabochih-v-krasnojarske-obzor-rynka/	2026-04-29	Росстат	https://rosstat.gov.ru/
1	rt-covid19.ru	Профессии и обучение в Красноярске	тематическая	Как выбрать учебный центр для получения рабочей профессии	https://rt-covid19.ru/professii-i-obuchenie-v-krasnojarske/kak-vybrat-uchebnyj-centr-dlja-rabochej-professii/	2026-04-30		
2	cover-grouping.ru	Карьера и переобучение	тематическая	Зачем менять профессию: когда переобучение действительно оправдано	https://cover-grouping.ru/karera-i-pereobuchenie/zachem-menjat-professiju-kogda-pereobuchenie-opravdano/	2026-04-24		
2	cover-grouping.ru	Карьера и переобучение	анкор клиента	Профессиональная переподготовка в Красноярске: как это работает	https://cover-grouping.ru/karera-i-pereobuchenie/professionalnaja-perepodgotovka-v-krasnojarske/	2026-04-26	профессиональная переподготовка	https://aso-cdo.ru/krasnoyarsk/professionalnaya-perepodgotovka/
2	cover-grouping.ru	Карьера и переобучение	траст	Чем переподготовка отличается от повышения квалификации	https://cover-grouping.ru/karera-i-pereobuchenie/perepodgotovka-i-povyshenie-kvalifikacii-raznica/	2026-04-28	Закон об образовании	https://www.consultant.ru/document/cons_doc_LAW_140174/
2	cover-grouping.ru	Карьера и переобучение	тематическая	ТОП востребованных направлений переобучения в Красноярском крае	https://cover-grouping.ru/karera-i-pereobuchenie/top-napravlenij-pereobuchenija-v-krasnojarskom-krae/	2026-04-29		
