Домен,Статус,Тип поломки,Кампании,Размещений,Анкорных
2semechki.ru,УПАЛ,редирект-петля,campaign1+campaign4,1,1
antigravityrussia.ru,ЖИВ,,campaign2+campaign3,7,4
arshta.org,ЖИВ,,campaign2+campaign3,7,4
avtogear62.ru,УПАЛ,редирект-петля,campaign2+campaign4,8,5
ballare-mag.com,ЖИВ,,campaign2+campaign3,7,4
bcuran.ru,ЖИВ,,campaign2+campaign3,7,4
beauty-invest.ru,ЖИВ,,campaign2+campaign3,7,4
centr-audita.ru,ЖИВ,,campaign1+campaign4,1,1
colorit-dv.ru,ЖИВ,,campaign1+campaign4,1,1
cover-grouping.ru,ЖИВ,,campaign2+campaign3,7,4
drunk-fish.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
dubrovinaphoto.com,ЖИВ,,campaign1+campaign4,1,1
edhall.ru,ЖИВ,,campaign1+campaign4,1,1
elintel.ru,УПАЛ,редирект-петля,campaign1+campaign4,1,1
fermatastyle.ru,ЖИВ,,campaign2+campaign3,7,4
iscar-east.ru,ЖИВ,,campaign1+campaign4,1,1
kakudobrit.ru,УПАЛ,редирект-петля,campaign2+campaign3,8,5
kgdink.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,7,4
ledpnz.ru,УПАЛ,редирект-петля,campaign2+campaign4,8,5
liveandcreate.ru,ЖИВ,,campaign2+campaign3,7,4
lyadeputti.ru,ЖИВ,,campaign2+campaign3,7,4
m-e-d-a-l.ru,ЖИВ,,campaign1+campaign4,1,1
mai-hoshi.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
mybabyfoot.ru,ЖИВ,,campaign1+campaign4,1,1
omegabay.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,7,4
oybox.by,ЖИВ,,campaign1+campaign4,1,1
photo-test.ru,ЖИВ,,campaign2+campaign3,7,4
photoset-msk.ru,ЖИВ,,campaign1+campaign4,1,1
pravo-or.org,ЖИВ,,campaign1+campaign4,1,1
pre100l.ru,ЖИВ,,campaign1+campaign4,1,1
prforce.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,7,4
pro-covers.ru,УПАЛ,редирект-петля,campaign1+campaign4,1,1
promplo.ru,УПАЛ,редирект-петля,campaign2+campaign4,8,5
property-in-alanya.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
rt-covid19.ru,ЖИВ,,campaign2+campaign3,7,4
sibertek.ru,ЖИВ,,campaign1+campaign4,1,1
solbrasil.ru,ЖИВ,,campaign1+campaign4,1,1
solkmsb.ru,ЖИВ,,campaign1+campaign4,1,1
speciallabel.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
studio-santech.ru,ЖИВ,,campaign1+campaign4,1,1
techfile.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,7,4
top-audit.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
ulcus.ru,ЖИВ,,campaign2+campaign3,7,4
unit-org.ru,УПАЛ,CF 521 origin down,campaign2+campaign3,8,5
vsenamag.ru,ЖИВ,,campaign1+campaign4,1,1
yarfido.ru,ЖИВ,,campaign1+campaign4,1,1
yellodigital.ru,УПАЛ,редирект-петля,campaign2+campaign4,9,6
доступныйсервис.рф,УПАЛ,редирект-петля,campaign2+campaign3,8,5
стандарт72.рф,УПАЛ,редирект-петля,campaign2+campaign3,8,5
