domain,campaigns,ip,behind_cf,home_status,home_snippet,api_status,posts_total,latest_post,verdict
2semechki.ru,campaign1+campaign4,172.67.146.227,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
antigravityrussia.ru,campaign2+campaign3,104.21.90.157,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
arshta.org,campaign2+campaign3,104.21.77.115,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
avtogear62.ru,campaign2+campaign4,172.67.221.239,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
ballare-mag.com,campaign2+campaign3,172.67.196.169,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
bcuran.ru,campaign2+campaign3,172.67.179.213,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
beauty-invest.ru,campaign2+campaign3,104.21.2.24,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
centr-audita.ru,campaign1+campaign4,172.67.212.25,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
colorit-dv.ru,campaign1+campaign4,172.67.188.88,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
cover-grouping.ru,campaign2+campaign3,172.67.162.154,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
