Домен,URL статьи,Дата,Анкор,Целевая ссылка,Тема,Источник
2semechki.ru,https://2semechki.ru/event-foto-v-moskve/kak-vybrat-fotobudku-v-moskve-bez-pereplat/,2026-08-16,фотобудка аренда Москва,https://divent.ru/uslugi/arenda-fotobudki/,,campaign4_anchors.csv
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/professija-ocenshhik-zadachi-i-dohod/,2026-05-06,,,Профессия оценщик: чем он занимается и сколько зарабатывает,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/kak-formiruetsja-stoimost-nedvizhimosti/,2026-05-08,оценка недвижимости,https://ru.wikipedia.org/wiki/Оценка_недвижимости,Как устроена оценка стоимости недвижимости,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/ocenshhik-nedvizhimosti-kak-vojti-v-professiju/,2026-05-10,оценщик недвижимости обучение,https://aso-cdo.ru/krasnoyarsk/professionalnaya-perepodgotovka/ocenochnaya-deyatelnost-pp/oczenka-nedvizhimosti/,Оценщик недвижимости: обучение и старт в профессии,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/kogda-nuzhna-nezavisimaja-ocenka-nedvizhimosti/,2026-05-12,,,Когда нужна независимая оценка недвижимости,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/rynok-nedvizhimosti-rossii-v-cifrah/,2026-05-13,Росстат,https://rosstat.gov.ru/,Рынок недвижимости России в цифрах,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/ocenka-i-nedvizhimost/kak-stat-chastnopraktikujushhim-ocenshhikom/,2026-05-14,,,Как стать частнопрактикующим оценщиком,campaign2_links
antigravityrussia.ru,https://antigravityrussia.ru/interaktivnye-fotozony-na-meroprijatijah/kak-vybrat-interaktivnuju-fotozonu/,2026-06-02,аренда интерактивной фотозоны,https://divent.ru/uslugi/fotozony/,,campaign3_anchors.csv
arshta.org,https://arshta.org/laboratorija-i-analiz/rol-himicheskoj-laboratorii-na-proizvodstve/,2026-04-26,,,Что делает химическая лаборатория на современном производстве,campaign2_links
arshta.org,https://arshta.org/laboratorija-i-analiz/sovremennoe-oborudovanie-himicheskih-laboratorij/,2026-04-28,,,Современное оборудование химических лабораторий,campaign2_links
arshta.org,https://arshta.org/laboratorija-i-analiz/professija-laborant-zadachi-i-trebovanija/,2026-04-30,лаборант,https://ru.wikipedia.org/wiki/Лаборант,Профессия лаборант: обязанности и требования,campaign2_links
arshta.org,https://arshta.org/laboratorija-i-analiz/obuchenie-na-laboranta-himanaliza-v-krasnojarske/,2026-05-02,лаборант химического анализа обучение красноярск,https://aso-cdo.ru/krasnoyarsk/rabochie-professii/laborant-himicheskogo-analiza/,Обучение на лаборанта химического анализа в Красноярске,campaign2_links
arshta.org,https://arshta.org/laboratorija-i-analiz/professionalnye-standarty-dlja-laboratorij-2/,2026-05-04,профстандарты,https://profstandart.rosmintrud.ru/,Профессиональные стандарты для работников лабораторий,campaign2_links
arshta.org,https://arshta.org/laboratorija-i-analiz/karernyj-put-laboranta-ot-stazhjora-do-rukovoditelja/,2026-05-05,,,Карьерный путь лаборанта: от стажёра до руководителя,campaign2_links
arshta.org,https://arshta.org/fotozony-dlja-svadebnyh-ceremonij/kak-vybrat-fotozonu-v-arendu-v-ekaterinburge/,2026-05-31,фотозона в аренду в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony/,,campaign3_anchors.csv
avtogear62.ru,https://avtogear62.ru/?p=133,2026-06-01,,,"Как понять, какая профессия вам подойдёт",campaign2_links
avtogear62.ru,https://avtogear62.ru/?p=134,2026-06-03,,,Профориентация для взрослых: с чего начать,campaign2_links
avtogear62.ru,https://avtogear62.ru/?p=135,2026-06-04,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,Что такое профпереподготовка простыми словами,campaign2_links
avtogear62.ru,https://avtogear62.ru/?p=136,2026-06-05,проф переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,Проф переподготовка: короткий путь к новой профессии,campaign2_links
avtogear62.ru,https://avtogear62.ru/novaja-professija/profperepodgotovka-korotkij-put-k-novoj-professii/,2026-06-05,проф переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,,campaign2_anchors.csv
avtogear62.ru,https://avtogear62.ru/?p=137,2026-06-06,Работа России,https://trudvsem.ru/,Поддержка занятости и переобучение населения,campaign2_links
avtogear62.ru,https://avtogear62.ru/?p=138,2026-06-08,,,Сколько зарабатывают после смены профессии,campaign2_links
avtogear62.ru,https://avtogear62.ru/arenda-robotov-dlja-event-proektov/arenda-robotov-na-meroprijatie-bez-pereplat/,2026-08-18,аренда роботов на мероприятие,https://divent.ru/uslugi/roboty/,,campaign4_anchors.csv
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/voditel-pogruzchika-objazannosti-i-spros/,2026-05-02,,,Водитель погрузчика: чем занимается и где востребован,campaign2_links
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/obuchenie-na-voditelja-pogruzchika-programma-kursa/,2026-05-03,обучение на водителя погрузчика,https://aso-cdo.ru/krasnoyarsk/rabochie-professii/voditel-pogruzchika/,Обучение на водителя погрузчика: что входит в программу курса,campaign2_links
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/vidy-pogruzchikov-i-ih-naznachenie/,2026-05-05,погрузчик,https://ru.wikipedia.org/wiki/Погрузчик,Виды погрузчиков и их назначение,campaign2_links
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/kak-poluchit-udostoverenie-voditelja-pogruzchika/,2026-05-06,,,Как получить удостоверение водителя погрузчика,campaign2_links
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/bezopasnost-pri-rabote-na-pogruzchike/,2026-05-07,Ростехнадзор,https://www.gosnadzor.ru/,Требования безопасности при работе на погрузчике,campaign2_links
ballare-mag.com,https://ballare-mag.com/skladskaja-tehnika-i-logistika/skolko-zarabatyvaet-voditel-pogruzchika/,2026-05-09,,,Сколько зарабатывает водитель погрузчика,campaign2_links
ballare-mag.com,https://ballare-mag.com/event-industrija-moskvy-fotozony-i-oformlenie/kak-vybrat-fotozonu-na-meroprijatie/,2026-06-01,аренда фотозоны на мероприятие,https://divent.ru/uslugi/fotozony/,,campaign3_anchors.csv
bcuran.ru,https://bcuran.ru/distancionnoe-obuchenie-professijam/mozhno-li-osvoit-rabochuju-professiju-distancionno/,2026-05-09,,,Можно ли освоить рабочую профессию дистанционно,campaign2_links
