Аккаунт Cloudflare,Домен,Регистратор,Тематика,NS1,NS2
"CF-1 (текущий, Chechetov.alex@gmail.com)",top-audit.ru,REG.RU,красота,,
"CF-1 (текущий, Chechetov.alex@gmail.com)",2semechki.ru,панель №1,металл,,
"CF-1 (текущий, Chechetov.alex@gmail.com)",drunk-fish.ru,панель №1,отдых,,
"CF-1 (текущий, Chechetov.alex@gmail.com)",yellodigital.ru,панель №1,маркетинг,,
CF-2 (новый),kgdink.ru,панель №1,красота,,
CF-2 (новый),avtogear62.ru,REG.RU,металл/авто,,
CF-2 (новый),omegabay.ru,панель №1,отдых,,
CF-2 (новый),kakudobrit.ru,панель №1,сервисы,,
CF-3 (новый),prforce.ru,панель №1,красота,,
CF-3 (новый),доступныйсервис.рф,REG.RU,металл,,
CF-3 (новый),ledpnz.ru,REG.RU,свет,,
CF-3 (новый),mai-hoshi.ru,панель №1,питомцы,,
CF-4 (новый),techfile.ru,панель №1,красота,,
CF-4 (новый),elintel.ru,панель №1,свет/металл,,
CF-4 (новый),promplo.ru,REG.RU,энергетика,,
CF-4 (новый),стандарт72.рф,панель №1,стройка,,
CF-5 (новый),unit-org.ru,панель №1,косметология,,
CF-5 (новый),speciallabel.ru,панель №1,маркировка,,
CF-5 (новый),pro-covers.ru,панель №1,авто,,
CF-5 (новый),property-in-alanya.ru,REG.RU,недвижимость,,
