Домен,URL статьи,Слаг рубрики,Слаг записи,Дата,Анкор,Целевая ссылка,Денежная,Тема,Точный URL
2semechki.ru,https://2semechki.ru/event-foto-v-moskve/kak-vybrat-fotobudku-v-moskve-bez-pereplat/,event-foto-v-moskve,kak-vybrat-fotobudku-v-moskve-bez-pereplat,2026-08-16,фотобудка аренда Москва,https://divent.ru/uslugi/arenda-fotobudki/,да,,да
avtogear62.ru,https://avtogear62.ru/?p=133,,,2026-06-01,,,,"Как понять, какая профессия вам подойдёт","нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/?p=134,,,2026-06-03,,,,Профориентация для взрослых: с чего начать,"нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/?p=135,,,2026-06-04,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Что такое профпереподготовка простыми словами,"нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/?p=136,,,2026-06-05,проф переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Проф переподготовка: короткий путь к новой профессии,"нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/novaja-professija/profperepodgotovka-korotkij-put-k-novoj-professii/,novaja-professija,profperepodgotovka-korotkij-put-k-novoj-professii,2026-06-05,проф переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
avtogear62.ru,https://avtogear62.ru/?p=137,,,2026-06-06,Работа России,https://trudvsem.ru/,,Поддержка занятости и переобучение населения,"нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/?p=138,,,2026-06-08,,,,Сколько зарабатывают после смены профессии,"нет: адрес вида ?p=ID, слаг не восстановить"
avtogear62.ru,https://avtogear62.ru/arenda-robotov-dlja-event-proektov/arenda-robotov-na-meroprijatie-bez-pereplat/,arenda-robotov-dlja-event-proektov,arenda-robotov-na-meroprijatie-bez-pereplat,2026-08-18,аренда роботов на мероприятие,https://divent.ru/uslugi/roboty/,да,,да
drunk-fish.ru,https://drunk-fish.ru/?p=128,,,2026-05-22,,,,Когда пора менять профессию: главные признаки,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/?p=129,,,2026-05-24,Росстат,https://rosstat.gov.ru/,,Рынок труда и востребованные профессии в России,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/?p=130,,,2026-05-25,профессиональная переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Профессиональная переподготовка: как сменить сферу деятельности,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/smena-professii/professionalnaja-perepodgotovka-put-k-novoj-karere/,smena-professii,professionalnaja-perepodgotovka-put-k-novoj-karere,2026-05-25,профессиональная переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
drunk-fish.ru,https://drunk-fish.ru/?p=131,,,2026-05-26,,,,Мифы о переобучении взрослых,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/?p=132,,,2026-05-27,Рособрнадзор,https://obrnadzor.gov.ru/,,Как проверить документ о переподготовке,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/?p=133,,,2026-05-29,,,,Истории успешной смены профессии,"нет: адрес вида ?p=ID, слаг не восстановить"
drunk-fish.ru,https://drunk-fish.ru/svadebnye-fotozony-v-ekaterinburge/kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge/,svadebnye-fotozony-v-ekaterinburge,kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge,2026-06-10,фотозона на свадьбу в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony/,да,,да
elintel.ru,https://elintel.ru/iskusstvennyj-intellekt-v-event-fotografii/fotobudka-s-ii-v-moskve-vybor-bez-pereplat/,iskusstvennyj-intellekt-v-event-fotografii,fotobudka-s-ii-v-moskve-vybor-bez-pereplat,2026-08-15,фотобудка с ИИ в Москве,https://divent.ru/uslugi/ii-fotobudka/,да,,да
kakudobrit.ru,https://kakudobrit.ru/?p=105,,,2026-05-25,,,,Второе высшее или переподготовка: что выбрать,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/?p=106,,,2026-05-26,переподготовка на базе высшего образования в Тюмени,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Переподготовка на базе высшего образования в Тюмени,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/dopolnitelnoe-obrazovanie/perepodgotovka-v-tjumeni-novye-karernye-vozmozhnosti/,dopolnitelnoe-obrazovanie,perepodgotovka-v-tjumeni-novye-karernye-vozmozhnosti,2026-05-26,переподготовка на базе высшего образования в Тюмени,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
kakudobrit.ru,https://kakudobrit.ru/?p=107,,,2026-05-28,Закон об образовании,https://www.consultant.ru/document/cons_doc_LAW_140174/,,Уровни профессионального образования в России,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/?p=108,,,2026-05-29,,,,Кому подходит переподготовка на базе диплома вуза,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/?p=109,,,2026-05-31,Рособрнадзор,https://obrnadzor.gov.ru/,,Как государство контролирует качество образования,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/?p=110,,,2026-06-01,,,,Как переподготовка помогает в карьере,"нет: адрес вида ?p=ID, слаг не восстановить"
kakudobrit.ru,https://kakudobrit.ru/svadby-v-ekaterinburge-fotozony-i-dekor/kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge/,svadby-v-ekaterinburge-fotozony-i-dekor,kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge,2026-06-09,фотозона на свадьбу в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony/,да,,да
kgdink.ru,https://kgdink.ru/professija-voditel-pogruzchika/odin-den-iz-zhizni-voditelja-pogruzchika/,professija-voditel-pogruzchika,odin-den-iz-zhizni-voditelja-pogruzchika,2026-05-11,,,,Один день из жизни водителя погрузчика,да
kgdink.ru,https://kgdink.ru/professija-voditel-pogruzchika/kakie-byvajut-pogruzchiki-jelektricheskie-i-dizelnye/,professija-voditel-pogruzchika,kakie-byvajut-pogruzchiki-jelektricheskie-i-dizelnye,2026-05-12,,,,Какие бывают погрузчики: электрические и дизельные,да
kgdink.ru,https://kgdink.ru/professija-voditel-pogruzchika/ustrojstvo-i-princip-raboty-pogruzchika/,professija-voditel-pogruzchika,ustrojstvo-i-princip-raboty-pogruzchika,2026-05-14,погрузчик,https://ru.wikipedia.org/wiki/Погрузчик,,Устройство и принцип работы погрузчика,да
kgdink.ru,https://kgdink.ru/professija-voditel-pogruzchika/obuchenie-na-voditelja-pogruzchika-v-moskve/,professija-voditel-pogruzchika,obuchenie-na-voditelja-pogruzchika-v-moskve,2026-05-16,обучение на водителя погрузчика в москве,https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/,да,Обучение на водителя погрузчика в Москве: цены и сроки,да
kgdink.ru,https://kgdink.ru/professija-voditel-pogruzchika/pravila-bezopasnoj-jekspluatacii-pogruzchikov/,professija-voditel-pogruzchika,pravila-bezopasnoj-jekspluatacii-pogruzchikov,2026-05-17,Ростехнадзор,https://www.gosnadzor.ru/,,Правила безопасной эксплуатации погрузчиков,да
kgdink.ru,https://kgdink.ru/?p=107,,,2026-05-19,,,,Что проверяют на экзамене у будущего водителя погрузчика,"нет: адрес вида ?p=ID, слаг не восстановить"
kgdink.ru,https://kgdink.ru/fotozony-v-ekaterinburge-podbor-po-sluchaju/kak-vybrat-fotozonu-v-ekb-bez-pereplat/,fotozony-v-ekaterinburge-podbor-po-sluchaju,kak-vybrat-fotozonu-v-ekb-bez-pereplat,2026-06-04,фотозона Екб,https://divent.ru/ekb/uslugi/fotozony/,да,,да
ledpnz.ru,https://ledpnz.ru/?p=120,,,2026-05-29,,,,Как выбрать профессиональные курсы и не потратить деньги зря,"нет: адрес вида ?p=ID, слаг не восстановить"
ledpnz.ru,https://ledpnz.ru/?p=121,,,2026-05-31,курсы переподготовки,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Курсы переподготовки: с чего начать обучение,"нет: адрес вида ?p=ID, слаг не восстановить"
ledpnz.ru,https://ledpnz.ru/professionalnye-kursy/kursy-perepodgotovki-s-chego-nachat-obuchenie/,professionalnye-kursy,kursy-perepodgotovki-s-chego-nachat-obuchenie,2026-05-31,курсы переподготовки,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
ledpnz.ru,https://ledpnz.ru/?p=122,,,2026-06-02,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Дополнительное профессиональное образование простыми словами,"нет: адрес вида ?p=ID, слаг не восстановить"
