Домен,Домен ASCII,ID,Заголовок,Слаг,Рубрика,Слаг рубрики,Дата,Анкор,Целевая ссылка,Денежная,Тема,Был в индексе,Источник заголовка,Источник слага
2semechki.ru,2semechki.ru,138,,,Event-фото в Москве,event-foto-v-moskve,2026-08-14 21:17,,,,Event-фото в Москве: что изменилось в 2026 году,да,сгенерируется,утрачен
2semechki.ru,2semechki.ru,140,,,Event-фото в Москве,event-foto-v-moskve,2026-08-15 16:19,,,,"Event-фото в Москве: оборудование, софт и расходники",да,сгенерируется,утрачен
2semechki.ru,2semechki.ru,142,Как выбрать фотобудку в Москве без переплат,kak-vybrat-fotobudku-v-moskve-bez-pereplat,Event-фото в Москве,event-foto-v-moskve,2026-08-16 18:23,фотобудка аренда Москва,https://divent.ru/uslugi/arenda-fotobudki/,да,Фотобудка аренда Москва: как выбрать подрядчика и не переплатить,да,восстановлен из слага,записан в реестре
2semechki.ru,2semechki.ru,144,,,Event-фото в Москве,event-foto-v-moskve,2026-08-17 15:05,,,,Event-фото в Москве: разбор реальных кейсов,да,сгенерируется,утрачен
2semechki.ru,2semechki.ru,146,,,Event-фото в Москве,event-foto-v-moskve,2026-08-19 18:10,,,,"Event-фото в Москве: площадка, электрика и безопасность",нет,сгенерируется,утрачен
2semechki.ru,2semechki.ru,148,,,Event-фото в Москве,event-foto-v-moskve,2026-08-21 15:46,,,,Event-фото в Москве: частые ошибки заказчиков,нет,сгенерируется,утрачен
avtogear62.ru,avtogear62.ru,133,"Как понять, какая профессия вам подойдёт",kak-ponjat-kakaja-professija-vam-podojdjot,Новая профессия,novaja-professija,2026-06-01 18:20,,,,"Как понять, какая профессия вам подойдёт",да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,134,Профориентация для взрослых: с чего начать,proforientacija-dlja-vzroslyh-s-chego-nachat,Новая профессия,novaja-professija,2026-06-03 13:49,,,,Профориентация для взрослых: с чего начать,да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,135,Что такое профпереподготовка простыми словами,chto-takoe-profperepodgotovka-prostymi-slovami,Новая профессия,novaja-professija,2026-06-04 19:42,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Что такое профпереподготовка простыми словами,да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,136,Профпереподготовка: короткий путь к новой профессии,profperepodgotovka-korotkij-put-k-novoj-professii,Новая профессия,novaja-professija,2026-06-05 09:25,проф переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Проф переподготовка: короткий путь к новой профессии,да,журнал публикаций,из заголовка
